name,group,Happy,Health,Family,Friends,Leasure Time,Politics,Religion,Work
Australia,Oceania,3.355,3.1,3.88,3.569,3.31,2.488,2.498,3.312
Belarus,Europe,2.333,2.02,3.79,3.077,2.909,1.943,2.388,3.212
Taiwan,Asia,3.176,2.563,3.748,3.148,3.012,2.32,2.511,3.324
Colombia,South America,3.304,2.986,3.853,3.179,3.267,2.229,3.346,3.704
Georgia,Europe,2.706,2.474,3.927,3.703,3.117,2.319,3.267,3.261
Germany,Europe,2.93,2.656,3.742,3.342,3.158,2.502,1.939,3.317
New Zealand,Oceania,3.249,3.094,3.89,3.412,3.244,2.26,2.166,3.168
Pakistan,Asia,3.03,2.724,3.75,2.662,2.193,1.623,3.75,3.577
Philippines,Asia,3.311,2.625,3.955,3.251,2.607,2.42,3.755,3.798
Romania,Europe,2.509,2.547,3.853,2.842,2.915,1.915,3.032,3.505
Slovenia,Europe,2.826,2.364,3.762,3.27,3.073,1.792,2.355,3.478
Ukraine,Europe,2.325,2.005,3.8,3.14,2.773,1.966,2.323,3.168
Uruguay,South America,2.964,2.943,3.89,3.423,3.29,2.143,2.494,3.62
South Korea,Asia,2.995,2.926,3.885,3.389,3.053,2.758,2.525,3.445
Brazil,South America,3.026,2.926,3.916,3.432,3.425,2.417,3.506,3.827
Nigeria,Africa,3.268,3.045,3.967,3.412,3.283,2.357,3.889,3.822
Peru,South America,2.883,2.572,3.853,2.722,2.841,2.154,3.264,3.625
Poland,Europe,2.997,2.234,3.879,3.085,2.925,2.052,3.237,3.529
Russia,Europe,2.449,1.999,3.785,3.057,2.893,2.297,2.258,3.219
South Africa,Africa,3.015,2.891,3.903,2.757,2.92,2.297,3.54,3.678
United States,North America,3.388,3.145,3.941,3.647,3.285,2.65,3.322,3.34
Argentina,South America,3.058,2.688,3.854,3.301,2.968,2.02,2.873,3.659
Chile,South America,3.052,2.686,3.842,2.843,3.22,1.794,3.047,3.509
China,Asia,3.034,2.967,3.745,3.087,2.537,2.629,1.521,3.497
India,Asia,3,2.648,3.888,3.102,2.212,2.066,3.161,3.778
Japan,Asia,3.179,2.587,3.857,3.402,3.247,2.636,1.786,3.332
Mexico,North America,2.955,2.649,3.698,2.915,3.011,2.398,3.184,3.511
Spain,Europe,3.035,2.81,3.804,3.283,3.09,1.84,2.678,3.449
Sweden,Europe,3.299,3.092,3.884,3.677,3.441,2.462,2.095,3.539
Turkey,Asia,3.368,2.701,3.959,3.683,3.118,2.5,3.744,3.678
Moldova,Europe,2.37,2.035,3.753,2.884,2.798,2.021,2.856,3.266
Serbia,Europe,2.771,2.494,3.859,3.407,2.918,1.951,2.598,3.507
Czech Rep.,Europe,2.875,2.532,3.88,3.256,2.959,1.977,1.796,3.265
Switzerland,Europe,3.327,3.201,3.775,3.507,3.297,2.226,2.256,3.292
Slovakia,Europe,2.731,2.495,3.897,3.202,3.023,2.035,2.54,3.3
Albania,Europe,2.192,2.973,3.936,2.971,2.342,1.848,2.674,3.717
Norway,Europe,3.231,3.133,3.863,3.561,3.295,2.409,2.296,3.497
Finland,Europe,3.114,2.925,3.739,3.505,3.214,1.907,2.392,3.261
Hungary,Europe,2.846,2.412,3.857,3.101,3.042,1.981,2.347,3.334
