name,group,Happy,Health,Family,Friends,Leasure Time,Politics,Religion,Work
Iraq,Asia,2.626,2.91,3.96,3.477,2.786,2.51,3.91,3.778
Jordan,Asia,2.906,3.052,3.961,3.368,2.6,2.316,3.948,3.412
Morocco,Africa,2.973,2.881,3.915,2.957,3.019,1.768,3.946,3.83
Pakistan,Asia,2.9,2.773,3.908,2.804,2.13,1.682,3.762,3.502
Philippines,Asia,3.252,2.69,3.985,3.232,2.658,2.618,3.839,3.921
Egypt,Africa,3.055,2.787,3.96,3.177,2.532,2.299,3.969,3.59
South Korea,Asia,2.958,2.904,3.892,3.398,3.067,2.563,2.585,3.53
Nigeria,Africa,3.577,3.475,3.985,3.526,3.321,2.566,3.911,3.825
Peru,South America,2.949,2.576,3.812,2.785,2.596,2.439,3.341,3.642
South Africa,Africa,3.114,3.206,3.933,2.983,3.091,2.458,3.579,3.688
United States,North America,3.301,3.226,3.938,3.592,3.326,2.639,3.335,3.391
Argentina,South America,3.106,2.814,3.883,3.246,3.042,1.856,3.091,3.649
Chile,South America,3.141,2.841,3.953,2.898,3.364,1.926,3.192,3.649
China,Asia,2.857,2.78,3.549,2.956,2.454,2.602,1.394,3.366
India,Asia,2.903,2.703,3.881,3.079,2.719,2.131,3.237,3.658
Japan,Asia,3.077,2.577,3.859,3.319,3.235,2.626,1.645,3.19
Mexico,North America,3.449,2.759,3.948,3.06,3.241,2.332,3.511,3.795
Spain,Europe,3.045,2.895,3.838,3.369,3.224,1.938,2.506,3.4
Turkey,Asia,3.024,2.702,3.963,3.659,3.082,2.182,3.706,3.51
Canada,North America,3.392,3.193,3.927,3.55,3.249,2.318,2.774,3.359
Moldova,Europe,2.455,2.005,3.8,3.121,2.826,2.193,2.947,2.956
Serbia,Europe,2.779,2.536,3.91,3.522,3.009,1.968,2.871,3.369
Albania,Europe,2.572,2.958,3.945,3.122,2.509,2.001,2.682,3.718
Vietnam,Asia,3.372,2.646,3.809,3.006,2.589,3.057,2.186,3.483
Zimbabwe,Africa,2.652,2.866,3.973,3.056,2.833,2.189,3.669,3.885
Algeria,Africa,2.858,2.459,3.928,3.183,2.917,2.353,3.867,3.895
Bangladesh,Asia,2.899,2.647,3.967,3.096,2.858,2.5,3.846,3.891
Bosnia Herzegovina,Europe,2.997,2.817,3.984,3.682,3.289,2.168,2.914,3.557
Indonesia,Asia,3.137,2.81,3.99,3.525,2.78,2.201,3.98,3.868
Iran,Asia,2.588,2.94,3.917,3.004,2.823,2.219,3.681,3.656
