name,group,Happy,Health,Family,Friends,Leasure Time,Politics,Religion,Work
Belarus,Europe,2.347,2.128,3.669,3.096,2.973,2.31,2.004,3.298
Canada,North America,2.988,3.137,3.891,3.449,3.281,2.481,2.783,3.408
Brazil,South America,2.937,2.906,3.891,3.458,3.371,2.234,3.357,3.791
Nigeria,Africa,2.957,3.058,3.927,3.313,3.553,2.187,3.749,3.91
Poland,Europe,2.954,2.231,3.877,2.97,3.079,2.195,2.144,3.58
Russia,Europe,2.296,2.048,3.673,2.961,2.837,2.181,1.981,3.149
South Africa,Africa,2.795,2.889,3.858,2.787,2.886,2.542,3.465,3.679
United States,North America,3.225,3.123,3.896,3.453,3.26,2.543,3.252,3.395
Argentina,South America,3.017,2.646,3.898,3.326,3.075,2.037,2.888,3.693
Chile,South America,3.003,2.606,3.891,2.606,2.905,2.044,3.216,3.706
China,Asia,2.866,2.808,3.826,2.917,2.49,2.758,1.248,3.537
India,Asia,2.914,2.683,3.747,3.024,2.57,2.209,3.236,3.848
Japan,Asia,2.812,2.406,3.715,3.184,2.954,2.399,1.655,3.087
Mexico,North America,2.826,2.806,3.811,2.926,2.952,2.257,2.944,3.625
Spain,Europe,2.981,2.585,3.78,3.338,3.171,1.793,2.466,3.534
Sweden,Europe,3.336,3.202,3.798,3.66,3.478,2.388,1.99,3.612
Turkey,Asia,3.062,2.7,3.858,3.458,2.659,1.961,3.362,3.082
Czech Rep.,Europe,2.754,2.455,3.81,3.072,3.022,2.229,1.77,"3,453"
Switzerland,Europe,3.262,3.109,3.78,3.381,3.247,2.242,2.546,3.277
Slovakia,Europe,2.505,2.348,3.816,3.011,2.975,2.137,2.291,"3,492"
